,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,20,All,8,2,14,-6,-3,500,1500,0,Small,-,80%
1,5K,24,All,6,5,9,-2,+1,1000,1000,1,Small,-,90%
2,c.S,18×2,All,7,6,13,+1,+13,1000×2,1000,3,Mid,-,100%
3,f.S,30,All,10,5,18,-9,-6,1500,1000,2,Mid,-,90%
4,S,40,All,12,4,27,-14,-11,2000,2000,3,Mid,-,90%
5,5H,38,All,11,5,29,-17,-14,2000,1000,3,Large,-,100%
6,H,40,All,12,4,26,-13,-10,2000,2000,3,Mid,-,90%
7,5D,50,High,20,3,26,-15,0,1125,3000,2,Mid,-,80%
8,5[D],62,High,28,3,26,-10,-,1875,1500,4,Very Small,-,100%
9,6P,27,All,10,6,20,-12,-9,1500,1000,2,Mid,"1~3 upper body, 4~15 above the knees",90%
10,6K,29,All,12,5,13,-4,-1,1500,1000,2,Mid,-,100%
11,6H,45,All,13,9,-,-12,-,2000,1000,3,Large,13~??F Airborne,100%
12,2P,18,All,7,4,9,-3,0,500,1500,0,Small,-,80%
13,2K,18,Low,5,3,11,-2,+1,750,1000,1,Small,-,70%
14,2S,"14, 14",Low,11,"3, 3",20,-9,-6,525×2,1000,2,Mid,-,90%
15,2H,34,All,11,11,24,-19,-,2000,1000,3,Large,-,100%
16,2D,30,Low,13,4,15,-6,HKD,1125,1000,2,Large,-,90%
17,j.P,15,High,6,6,10,~,~,375,1000,0,Small,-,80%
18,j.K,20,High,7,3,18,~,~,750,1000,1,Small,-,80%
19,j.S,14×2,High,10,6,15,+3 (IAD),+6 (IAD),525×2,1000,2,Mid,-,80%
20,j.H,34,High,10,4,22,~,~,1125,1000,2,Mid,-,80%
21,j.D,16×3,High,15,18,16,+0 (IAD),KD,375×3,1000,2,Mid,-,80%
