,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,22,All,5,4,9,-3,0,-,1500,0,Small,-,80%
1,5K,28,All,7,3,11,-2,+1,-,1000,1,Small,-,90%
2,c.S,39,All,7,4,12,+1,+4,-,1000,3,Mid,-,100%
3,f.S,31,All,13,8,18,-13,-10,-,1000,2,Mid,-,90%
4,5H,41,All,15,4,23,-8,-5,-,1000,4,Large,-,100%
5,2P,20,All,5,2,10,-2,+1,-,1500,0,Small,-,80%
6,2K,23,Low,6,2,12,-2,+1,-,1000,1,Small,-,70%
7,2S,28,All,10,2,23,-11,-8,-,1000,2,Mid,-,90%
8,2H,42,All,11,8,14,-5,-2,-,1000,3,Large,-,100%
9,j.P,18,High,5,4,12,-,-,-,1000,0,Small,-,80%
10,j.K,24,High,7,12,14,-,-,-,1000,1,Small,-,80%
11,j.S,29,High,8,4,20,-,-,-,1000,2,Mid,-,80%
12,j.H,41,High,12,5,22,-,-,-,1000,2,Mid,-,80%
13,j.D,35,High,16,5,20,-,-,-,1000,2,Mid,-,90%
14,6P,34,All,9,5,18,-9,-6,-,1000,2,Mid,1-2 Upper Body,90%
15,6H,"20,45",All,7,2(12)8,19,-8,KD,-,1000,"3,4",Large,-,100%
16,2D,33,Low,12,3,18,-7,HKD,-,1000,2,Large,-,90%
17,5D,45,High,20,3,26,-15,0,-,3000,2,Mid,-,80%
18,5[D],56,High,28,3,26,-11,KD,-,2500,4,Mid,-,100%
