input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,28,All,4,3,8,-1,+2,500,1500,0,Small,no data,80%
5K,30,All,8,6,11,-5,-2,1000,1000,1,Small,no data,90%
c.S,44,All,7,6,8,+3,+6,2000,1000,3,Mid,no data,100%
f.S,38,All,12,3,19,-8,-5,1500,1000,2,Mid,no data,90%
5H,55,All,13,8,15,-4,-1,2500,1000,4,Large,no data,100%
2P,24,All,5,4,8,-2,+1,500,1500,0,Small,no data,80%
2K,28,Low,6,4,10,-2,+1,750,1000,1,Small,no data,70%
2S,35,All,10,3,18,-7,-4,1500,1000,2,Mid,no data,90%
2H,60,All,11,13,26,-20,KD,2500,1000,4,Large,no data,100%
j.P,22,High,5,3,12,no data,no data,375,1000,0,Small,no data,80%
j.K,28,High,7,3,12,no data,no data,750,1000,1,Small,no data,80%
j.S,34,High,12,4,15,no data,no data,1125,1000,2,Mid,no data,80%
j.H,50,High,12,10,15,no data,no data,1500,1000,3,Mid,no data,80%
j.D,60,High,10,6,21,no data,no data,1875,1000,4,Mid,no data,80%
j.2H,40,High,13,Until L,6,no data,no data,1500,1000,3,Small,no data,80%
6P,35,All,12,6,18,-7,KD,2000,1000,3,Mid,1-3 upper body,90%
6K,35,High,20,5,11,-2,+1,1125,1000,2,Small,no data,80%
3K,35,Low,11,6,21,-13,KD,1125,1000,2,Small,no data,90%
6H,60 [90],All [All (Guard Crush)],16 [40],6 [6],24 [24],-8 [+8],-5[KD],2500,1000,4,Large,no data,no data
2D,30,Low,10,7,17,-7,HKD,1500,1000,3,Large,no data,90%
5D,50,High,20,3,26,-15,0,1125,3000,2,Mid,no data,80%
5[D],62,High,28,3,26,-10,KD,1875,1500,4,Mid,no data,100%
