input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
5P,20,All,7,5,7,-2,+1,500,1500,0,Small,None,u
5K,24,All,7,3,12,-3,0,1000,1500,1,Small,None,80%
c.S,15×2,All,7,"3,3",13,+1,+13,1000×2,1000,3,Mid,None,100%
f.S,30,All,9,2,19,-7,-4,1500,1000,2,Mid,27-30F Head,90%
5H,42,All,12,4,23,-8,-5,2500,1000,4,Large,None,100%
5D,40,High,20,3,26,-15,0,1125,3000,2,Mid,None,80%
5[D],50,High,28,3,26,-10,KD,1875,1500,4,Mid,None,100%
6P,26,All,9,9,16,-11,-8,1500,1000,2,Mid,1-2F Upper Body,90%
6K,35,High,28,2,14,-2,+2,1125,1000,2,Small,13-29F Below Knee,Initial 80%
6H,"20,40",All,17,5(13)4,23,-8,-5,1200×2,1000,4,Large×2,9-21F Airborne,100%
2P,18,All,4,2,10,-2,+1,500,1500,0,Small,None,80%
2K,18,Low,6,3,12,-3,0,750,1000,1,Small,None,70%
2S,28,Low,11,2,18,-6,-3,1125,1000,2,Mid,None,90%
2H,45,All,14,7,17,-7,KD,2000,1000,3,Large,None,100%
2D,30,Low,12,3,22,-11,HKD,1125,1000,2,Large,None,Forced 90%
j.P,16,High,5,4,12,-,-,375,1000,0,Small,None,80%
j.K,20,High,6,4,12,-,-,750,1000,1,Small,None,80%
j.S,32,High,7,4,14,-,-,1125,1000,2,Mid,None,80%
j.H,35,High,8,10,25,-,-,1125,1000,2,Mid,None,80%
j.D,35,High,9,7,27,-,-,1125,1000,2,Mid,None,80%
