,input,damage,guard,startup,active,recovery,onBlock,onHit,riscGain,riscLoss,level,counter,invuln,prorate
0,5P,22,All,5,4,8,-2,1,500,1500,0,Small,-,80%
1,5K,30,All,7,3,11,-2,1,1000,1000,1,Small,-,90%
2,c.S,40,All,7,6,10,+1,+4,2000,1000,3,Mid,-,100%
3,f.S,32 [25],All,11,6,21,-10 [-13],-7 [-10],2000 [1500],1000,3 [2],Mid,-,90%
4,5H,42 [33],All,12,3,28,-12 [-13],-9 [-11],2500 [2000],1000,4 [3],Large,-,100%
5,2P,22,All,6,4,9,-3,0,500,1500,0,Small,-,80%
6,2K,26,Low,6,5,9,-2,1,1000,1000,1,Small,-,70%
7,2S,38 [30],Low,10,4,18,-5 [-8],-2 [-5],2000 [1500],1000,3 [2],Mid,-,90%
8,2H,46 [36],All,14,9,25,-15 [-17],KD,2500 [2000],1000,4 [3],Large,-,100%
9,j.P,20,High,5,4,8,-,-,500,1000,0,Small,-,80%
10,j.K,22,High,7,4,13,-,-,1000,1000,1,Small,-,80%
11,j.S,30 [24],High,12,4,24,-,-,1500 [1000],1000,2 [1],Mid,-,80%
12,j.H,40 [32],High,19,6,31,-,-,1500 [1000],1000,2 [1],Mid,-,80%
13,j.D,16×3,High,10,"2, 2, 2",-,-,-,225×3,1000 (Once),1,Mid,-,80%
14,6P,30,All,9,5,18,-9,-6,1500,1000,2,Mid,1-3 Upper Body,80%
15,6H,50 [40],All,18 [18],2 [2],33 [33],-16 [-18],KD [-15],2500 [2000],1000,4 [3],Large,-,100%
16,2D,36,Low,10,6,19,-8,KD,2000,1000,3,Large,-,90%
17,5D,45,High,20,2,27,-15,0,1125,3000,2,Mid,-,80%
18,5[D],56,High,28,2,27,-10,KD,1875,1500,4,Mid,-,100%
